Date,Close,High,Low,Open,Volume
2018-01-02,6.729877471923828,6.771189776429154,6.705089143642594,6.721614695830083,12298200
2018-01-03,6.672039985656738,6.72161586284493,6.651383829817728,6.709221696552423,10250800
2018-01-04,6.630725860595703,6.692695894493116,6.618332484201592,6.692695894493116,16272000
2018-01-05,6.754665851593018,6.767059229292001,6.67203965635141,6.6803024334719305,9813600
2018-01-08,6.80837345123291,6.824899008202944,6.750535577801641,6.767060346789749,11198200
2018-01-09,6.915785789489746,6.924048566280456,6.837290985941528,6.837290985941528,12924400
2018-01-10,7.019067764282227,7.085168399149186,6.899260659079008,6.899260659079008,16472200
2018-01-11,7.134744167327881,7.1760572605247575,7.060380757169845,7.081036909777428,35177800
2018-01-12,6.944705486297607,7.064513399032789,6.9075237746199205,6.990149975677415,17614000
2018-01-16,7.3454413414001465,7.535480495595992,7.308259630712815,7.333047175177092,34275200
2018-01-17,7.485903263092041,7.539609725382862,7.456983550186024,7.4776404879760365,25586000
2018-01-18,7.4032793045043945,7.514824438023273,7.366097593331435,7.502430271638339,17432600
2018-01-19,7.4321980476379395,7.440460825016162,7.395016337417759,7.39914772610687,7706400
2018-01-22,7.556136608123779,7.564398596715163,7.432197323472088,7.465247641782857,19282400
2018-01-23,7.622237682342529,7.675944157187694,7.585055973610572,7.60571212824753,12009000
2018-01-24,7.626368045806885,7.729650391744563,7.618106056998013,7.680075306964266,15833400
2018-01-25,7.622237682342529,7.659419391074485,7.585055973610572,7.655288002550736,9798200
2018-01-26,7.642893314361572,7.663549467586071,7.572661290223845,7.642893314361572,7542800
2018-01-29,7.663548469543457,7.713124334000299,7.642892319009059,7.671811244949869,12540800
2018-01-30,7.539612293243408,7.589188172842513,7.5106933584697115,7.531349515313245,12589400
2018-01-31,7.440460205078125,7.543742549754976,7.4156726629905725,7.5396111614100905,19138600
2018-02-01,7.407410144805908,7.473510784667344,7.3743598248751905,7.473510784667344,10878600
2018-02-02,7.333046913146973,7.415673109051209,7.324784135960188,7.374360011099091,15280200
2018-02-05,7.176057815551758,7.3867531099866515,7.155400873364767,7.295864928309212,13482400
2018-02-06,7.21737003326416,7.246289751962524,7.035593672193598,7.081037368470357,13102200
2018-02-07,7.221501350402832,7.33304647176502,7.147137936161373,7.184319643282103,9494000
2018-02-08,7.068645000457764,7.324784813071502,7.064513611482461,7.316522035120897,10278800
2018-02-09,7.171926021575928,7.250420033502709,6.973623327702761,7.105825386278782,24858600
2018-02-12,7.27933931350708,7.3206516170990055,7.11821833516818,7.138875274945824,18193800
2018-02-13,7.213238716125488,7.266945977685451,7.167795019399872,7.246289823535786,9333400
2018-02-14,7.258683204650879,7.258683204650879,7.101694384278248,7.126481926867237,13086800
2018-02-15,7.275208950042725,7.312390658896712,7.20084553233475,7.287602327672859,10147000
2018-02-16,7.266947269439697,7.312391762225183,7.254553101957679,7.279341436921714,5777800
2018-02-20,7.287600994110107,7.320651308378888,7.2297631411351535,7.2297631411351535,6754200
2018-02-21,7.2999958992004395,7.436328557909512,7.295864510999349,7.3454403814307065,8143800
